iter	Passed	Remaining
0	55	55897
1	56	28276
2	57	19106
3	58	14493
4	59	11741
5	59	9883
6	60	8561
7	60	7560
8	61	6798
9	62	6182
10	63	5668
11	63	5256
12	64	4891
13	65	4581
14	65	4318
15	66	4093
16	67	3882
17	68	3743
18	69	3581
19	69	3428
20	70	3298
21	71	3169
22	71	3052
23	72	2943
24	72	2840
25	73	2751
26	74	2674
27	74	2597
28	75	2531
29	76	2469
30	77	2409
31	77	2347
32	78	2289
33	79	2244
34	80	2212
35	81	2170
36	81	2132
37	82	2089
38	83	2051
39	84	2019
40	84	1984
41	85	1947
42	86	1914
43	86	1881
44	87	1853
45	87	1822
46	88	1796
47	89	1771
48	89	1744
49	90	1718
50	91	1694
51	91	1672
52	92	1650
53	93	1632
54	93	1611
55	94	1597
56	95	1578
57	96	1562
58	96	1543
59	97	1527
60	98	1510
61	98	1494
62	99	1483
63	101	1479
64	102	1469
65	103	1467
66	104	1455
67	105	1443
68	106	1438
69	107	1422
70	107	1409
71	108	1398
72	109	1384
73	109	1373
74	110	1363
75	111	1351
76	111	1339
77	112	1327
78	112	1316
79	113	1305
80	114	1293
81	114	1283
82	114	1269
83	115	1259
84	116	1249
85	116	1241
86	117	1231
87	118	1224
88	118	1215
89	119	1207
90	120	1199
91	120	1190
92	121	1182
93	121	1175
94	122	1169
95	123	1160
96	123	1152
97	124	1144
98	124	1137
99	125	1130
100	126	1123
101	126	1116
102	127	1109
103	128	1103
104	128	1098
105	129	1093
106	130	1086
107	130	1079
108	131	1073
109	131	1066
110	132	1062
111	133	1057
112	134	1052
113	134	1045
114	135	1039
115	135	1034
116	136	1027
117	136	1021
118	137	1016
119	137	1011
120	138	1006
121	138	1000
122	139	995
123	140	989
124	140	985
125	141	982
126	142	976
127	142	972
128	143	967
129	143	961
130	144	958
131	145	954
132	145	950
133	146	946
134	147	943
135	147	940
136	148	935
137	149	932
138	149	927
139	150	924
140	151	920
141	151	916
142	152	913
143	153	909
144	153	905
145	154	902
146	154	898
147	155	895
148	156	891
149	156	887
150	157	884
151	157	881
152	158	877
153	159	873
154	159	870
155	160	867
156	160	864
157	161	860
158	162	857
159	162	854
160	163	850
161	163	848
162	164	845
163	165	842
164	165	839
165	166	837
166	167	833
167	167	831
168	168	828
169	169	827
170	170	824
171	170	821
172	171	818
173	171	815
174	172	813
175	172	809
176	173	808
177	174	805
178	175	803
179	175	801
180	176	798
181	177	795
